2021-10-04 00:02:27.770 +06:00 [INF] Application Starting up
2021-10-04 00:02:29.457 +06:00 [INF] no file to delete
2021-10-04 00:02:29.458 +06:00 [INF] Worker running at: "2021-10-04T00:02:29.4584468+06:00"
2021-10-04 00:02:59.490 +06:00 [INF] no file to delete
2021-10-04 00:02:59.490 +06:00 [INF] Worker running at: "2021-10-04T00:02:59.4906518+06:00"
2021-10-04 00:03:29.515 +06:00 [INF] no file to delete
2021-10-04 00:03:29.515 +06:00 [INF] Worker running at: "2021-10-04T00:03:29.5151561+06:00"
2021-10-04 00:03:59.517 +06:00 [INF] no file to delete
2021-10-04 00:03:59.517 +06:00 [INF] Worker running at: "2021-10-04T00:03:59.5177502+06:00"
2021-10-04 00:04:29.529 +06:00 [INF] no file to delete
2021-10-04 00:04:29.529 +06:00 [INF] Worker running at: "2021-10-04T00:04:29.5299510+06:00"
2021-10-04 00:04:59.538 +06:00 [INF] no file to delete
2021-10-04 00:04:59.538 +06:00 [INF] Worker running at: "2021-10-04T00:04:59.5387870+06:00"
2021-10-04 00:05:29.556 +06:00 [INF] no file to delete
2021-10-04 00:05:29.556 +06:00 [INF] Worker running at: "2021-10-04T00:05:29.5564024+06:00"
2021-10-04 00:05:59.568 +06:00 [INF] no file to delete
2021-10-04 00:05:59.568 +06:00 [INF] Worker running at: "2021-10-04T00:05:59.5683206+06:00"
2021-10-04 00:06:29.582 +06:00 [INF] no file to delete
2021-10-04 00:06:29.583 +06:00 [INF] Worker running at: "2021-10-04T00:06:29.5838727+06:00"
2021-10-04 00:06:59.608 +06:00 [INF] no file to delete
2021-10-04 00:06:59.608 +06:00 [INF] Worker running at: "2021-10-04T00:06:59.6086618+06:00"
2021-10-04 00:07:29.620 +06:00 [INF] no file to delete
2021-10-04 00:07:29.621 +06:00 [INF] Worker running at: "2021-10-04T00:07:29.6209332+06:00"
2021-10-04 00:07:59.625 +06:00 [INF] no file to delete
2021-10-04 00:07:59.625 +06:00 [INF] Worker running at: "2021-10-04T00:07:59.6251986+06:00"
2021-10-04 00:08:29.631 +06:00 [INF] no file to delete
2021-10-04 00:08:29.631 +06:00 [INF] Worker running at: "2021-10-04T00:08:29.6313284+06:00"
2021-10-04 00:08:59.642 +06:00 [INF] no file to delete
2021-10-04 00:08:59.642 +06:00 [INF] Worker running at: "2021-10-04T00:08:59.6428713+06:00"
2021-10-04 00:09:29.953 +06:00 [INF] Deleted 
2021-10-04 00:09:29.953 +06:00 [INF] Worker running at: "2021-10-04T00:09:29.9532013+06:00"
2021-10-04 00:09:59.966 +06:00 [INF] no file to delete
2021-10-04 00:09:59.966 +06:00 [INF] Worker running at: "2021-10-04T00:09:59.9666625+06:00"
2021-10-04 00:10:29.982 +06:00 [INF] no file to delete
2021-10-04 00:10:30.015 +06:00 [INF] Worker running at: "2021-10-04T00:10:30.0150014+06:00"
2021-10-04 00:11:00.023 +06:00 [INF] no file to delete
2021-10-04 00:11:00.023 +06:00 [INF] Worker running at: "2021-10-04T00:11:00.0237754+06:00"
2021-10-04 00:11:30.035 +06:00 [INF] no file to delete
2021-10-04 00:11:30.036 +06:00 [INF] Worker running at: "2021-10-04T00:11:30.0360942+06:00"
2021-10-04 00:12:00.042 +06:00 [INF] no file to delete
2021-10-04 00:12:00.042 +06:00 [INF] Worker running at: "2021-10-04T00:12:00.0421199+06:00"
2021-10-04 00:12:30.046 +06:00 [INF] no file to delete
2021-10-04 00:12:30.046 +06:00 [INF] Worker running at: "2021-10-04T00:12:30.0463839+06:00"
2021-10-04 00:13:00.059 +06:00 [INF] no file to delete
2021-10-04 00:13:00.059 +06:00 [INF] Worker running at: "2021-10-04T00:13:00.0591650+06:00"
2021-10-04 00:13:30.076 +06:00 [INF] no file to delete
2021-10-04 00:13:30.077 +06:00 [INF] Worker running at: "2021-10-04T00:13:30.0770170+06:00"
2021-10-04 00:14:00.086 +06:00 [INF] no file to delete
2021-10-04 00:14:00.086 +06:00 [INF] Worker running at: "2021-10-04T00:14:00.0865823+06:00"
2021-10-04 00:14:30.097 +06:00 [INF] no file to delete
2021-10-04 00:14:30.097 +06:00 [INF] Worker running at: "2021-10-04T00:14:30.0979365+06:00"
2021-10-04 00:15:00.108 +06:00 [INF] no file to delete
2021-10-04 00:15:00.108 +06:00 [INF] Worker running at: "2021-10-04T00:15:00.1086685+06:00"
2021-10-04 00:15:30.115 +06:00 [INF] no file to delete
2021-10-04 00:15:30.116 +06:00 [INF] Worker running at: "2021-10-04T00:15:30.1166022+06:00"
2021-10-04 00:16:00.127 +06:00 [INF] no file to delete
2021-10-04 00:16:00.127 +06:00 [INF] Worker running at: "2021-10-04T00:16:00.1279471+06:00"
2021-10-04 00:16:30.150 +06:00 [INF] no file to delete
